,category,corr_ans,masks,words,symbols
151,nonword,,&&&&&&,dighnd,images/symbols/symbol_36.png
152,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_62.png
153,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_51.png
154,care.virtue,left,&&&&,care,images/symbols/symbol_61.png
155,care.virtue,left,&&&&,help,images/symbols/symbol_68.png
156,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_37.png
157,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_82.png
158,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_4.png
159,nonword,,&&&&&,wence,images/symbols/symbol_9.png
160,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_64.png
161,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_23.png
162,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_52.png
163,fairness.virtue,left,&&&&,fair,images/symbols/symbol_10.png
164,nonword,,&&&&&,wence,images/symbols/symbol_72.png
165,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_11.png
166,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_12.png
167,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_68.png
168,nonword,,&&&&&&,crarft,images/symbols/symbol_2.png
169,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_69.png
170,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_64.png
171,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_31.png
172,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_24.png
173,care.vice,right,&&&&&&&,victims,images/symbols/symbol_42.png
174,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_39.png
175,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_67.png
176,fairness.virtue,left,&&&,win,images/symbols/symbol_13.png
177,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_32.png
178,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_16.png
179,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_62.png
180,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_45.png
181,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_51.png
182,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_55.png
183,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_57.png
184,care.virtue,left,&&&&,help,images/symbols/symbol_25.png
185,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_82.png
186,authority.vice,right,&&&&,riot,images/symbols/symbol_34.png
187,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_47.png
188,sanctity.vice,right,&&&,war,images/symbols/symbol_76.png
189,care.virtue,left,&&&&,care,images/symbols/symbol_36.png
190,fairness.vice,right,&&&&,hate,images/symbols/symbol_10.png
191,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_4.png
192,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_71.png
193,nonword,,&&&&&&,clorze,images/symbols/symbol_28.png
194,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_23.png
195,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_73.png
196,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_54.png
197,control,right,&&&&&&&,pleasant,images/symbols/symbol_6.png
198,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_46.png
199,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_48.png
200,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_18.png
201,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_52.png
202,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_33.png
203,authority.virtue,left,&&&&&,trust,images/symbols/symbol_20.png
204,care.virtue,left,&&&&&&,health,images/symbols/symbol_53.png
205,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_15.png
206,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_74.png
207,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_56.png
208,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_50.png
209,fairness.virtue,left,&&&&,fair,images/symbols/symbol_80.png
210,care.vice,right,&&&&&&,killed,images/symbols/symbol_79.png
211,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_78.png
212,care.vice,right,&&&&,died,images/symbols/symbol_81.png
213,nonword,,&&&&&,treas,images/symbols/symbol_22.png
214,care.virtue,left,&&&&,safe,images/symbols/symbol_9.png
215,sanctity.vice,right,&&&&,fear,images/symbols/symbol_58.png
216,fairness.vice,right,&&&&,lies,images/symbols/symbol_21.png
217,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_63.png
218,nonword,,&&&&&&,dighnd,images/symbols/symbol_60.png
219,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_35.png
220,nonword,,&&&&&,noost,images/symbols/symbol_29.png
221,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_5.png
222,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_30.png
223,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_65.png
224,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_40.png
