,category,corr_ans,masks,words,symbols
79,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_68.png
80,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_5.png
81,care.vice,right,&&&&&&&,victims,images/symbols/symbol_50.png
82,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_76.png
83,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_21.png
84,fairness.vice,right,&&&&,lies,images/symbols/symbol_80.png
85,nonword,,&&&&&,doars,images/symbols/symbol_17.png
86,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_81.png
87,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_37.png
88,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_66.png
89,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_82.png
90,nonword,,&&&&&,rhoas,images/symbols/symbol_16.png
91,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_44.png
92,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_57.png
93,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_7.png
94,care.virtue,left,&&&&&,peace,images/symbols/symbol_73.png
95,care.vice,right,&&&&&&&,victims,images/symbols/symbol_47.png
96,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_45.png
97,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_46.png
98,care.virtue,left,&&&&&&,safety,images/symbols/symbol_60.png
99,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_14.png
100,sanctity.virtue,left,&&&&&&,values,images/symbols/symbol_19.png
101,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_20.png
102,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_78.png
103,care.virtue,left,&&&&,good,images/symbols/symbol_1.png
104,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_2.png
105,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_52.png
106,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_74.png
107,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_26.png
108,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_15.png
109,fairness.virtue,left,&&&,win,images/symbols/symbol_70.png
110,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_41.png
111,loyalty.vice,right,&&&,ban,images/symbols/symbol_48.png
112,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_68.png
113,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_4.png
114,care.virtue,left,&&&&,care,images/symbols/symbol_79.png
115,control,right,&&&&&&&,pleasant,images/symbols/symbol_6.png
116,sanctity.vice,right,&&&,war,images/symbols/symbol_3.png
117,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_38.png
118,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_34.png
119,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_28.png
120,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_12.png
121,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_71.png
122,loyalty.vice,right,&&&&&,black,images/symbols/symbol_23.png
